Pace,Country
39.788,Aus
27.763,Bel
26.715,Bel
26.835,Bel
24.056,Bel
24.072,Bel
24.724,Bel
24.196,Bel
24.273,Bel
28.319,Bel
30.65,Bel
31.108,Bel
31.986,Bel
35.409,Bel
35.589,Bel
38.084,Bel
35.514,Bel
35.241,Bel
34.518,Bel
39.227,Dan
35.474,Esp
33.407,Esp
38.909,Esp
38.747,Esp
39.504,Esp
38.709,Esp
38.383,Esp
39.193,Esp
40.784,Esp
39.228,Esp
40.492,Esp
40.315,Esp
25.679,Fra
25.265,Fra
27.107,Fra
24.463,Fra
28.47,Fra
28.74,Fra
29.099,Fra
27.322,Fra
24.233,Fra
28,Fra
28.735,Fra
29.047,Fra
29.818,Fra
30.36,Fra
31.768,Fra
31.412,Fra
34.593,Fra
33.229,Fra
34.446,Fra
36.268,Fra
34.52,Fra
36.033,Fra
37.317,Fra
37.092,Fra
35.419,Fra
36.76,Fra
34.756,Fra
34.906,Fra
35.419,Fra
36.084,Fra
36.513,Fra
38.96,Fra
38.059,Fra
36.23,Fra
35.882,Fra
36.232,Fra
39.883,Gbr
40.542,Gbr
39.567,Gbr
39.571,Gbr
40.995,Gbr
39.237,Ger
36.645,Irl
24.25,Ita
24.82,Ita
31.565,Ita
33.442,Ita
32.121,Ita
32.233,Ita
37.21,Ita
35.886,Ita
39.983,Ita
40.662,Ita
28.658,Lux
27.224,Lux
28.4,Lux
36.919,Lux
39.594,Lux
33.556,Ned
35.144,Ned
32.778,Sui
32.949,Sui
37.02,USA
37.487,USA
38.621,USA
40.276,USA
39.569,USA
40.07,USA
39.92,USA
40.94,USA
40.553,USA
41.654,USA
